#          x                 Ham                 Mom
   4.9390639   -9.2330566101e-01    9.0697527597e-08
   4.9567034   -9.2332747975e-01    6.9977171655e-08
   4.9743429   -9.2333196676e-01    7.1144324572e-08
   4.9919824   -9.2332954004e-01    8.1042560258e-08
   5.0096219   -9.2332711332e-01    9.0940795944e-08
   5.0272614   -9.2332091733e-01    8.6405169891e-08
   5.0449010   -9.2331338516e-01    7.6752778036e-08
   5.0625405   -9.2330585299e-01    6.7100386181e-08
   5.0801800   -9.2331237765e-01    5.7191235875e-08
   5.0978195   -9.2332329958e-01    4.7201766259e-08
   5.1154590   -9.2333422151e-01    3.7212296642e-08
   5.1330985   -9.2335861539e-01    4.5147320322e-08
   5.1507380   -9.2338669564e-01    5.7987056098e-08
   5.1683776   -9.2341477589e-01    7.0826791874e-08
   5.1860171   -9.2343626827e-01    8.1413650338e-08
   5.2036566   -9.2345620121e-01    9.1467219002e-08
   5.2212961   -9.2347613414e-01    1.0152078767e-07
   5.2389356   -9.2347331450e-01    1.0457352870e-07
   5.2565751   -9.2346590162e-01    1.0621295712e-07
   5.2742146   -9.2345848874e-01    1.0785238553e-07
   5.2918541   -9.2343578362e-01    9.4792243237e-08
   5.3094937   -9.2341049487e-01    7.9248611828e-08
   5.3271332   -9.2338520612e-01    6.3704980418e-08
   5.3447727   -9.2336693601e-01    5.4132329059e-08
   5.3624122   -9.2334963291e-01    4.5382346063e-08
   5.3800517   -9.2333232981e-01    3.6632363067e-08
   5.3976912   -9.2333202633e-01    3.5743886842e-08
   5.4153307   -9.2333356264e-01    3.5706223039e-08
   5.4329703   -9.2333509895e-01    3.5668559235e-08
   5.4506098   -9.2333977067e-01    3.5440506334e-08
   5.4682493   -9.2334469375e-01    3.5197190172e-08
   5.4858888   -9.2334961683e-01    3.4953874009e-08
   5.5035283   -9.2333919050e-01    4.2994119256e-08
   5.5211678   -9.2332794300e-01    5.1477517994e-08
   5.5388073   -9.2331669551e-01    5.9960916732e-08
   5.5564469   -9.2329271965e-01    5.7716571237e-08
   5.5740864   -9.2326838597e-01    5.5170642572e-08
   5.5917259   -9.2324405229e-01    5.2624713906e-08
   5.6093654   -9.2322994379e-01    6.1312967777e-08
   5.6270049   -9.2321587540e-01    7.0045277266e-08
   5.6446444   -9.2320230973e-01    7.8399650106e-08
   5.6622839   -9.2321398092e-01    6.7781603201e-08
   5.6799235   -9.2322565210e-01    5.7163556296e-08
   5.6975630   -9.2323793566e-01    4.6785697111e-08
   5.7152025   -9.2326385844e-01    4.1757473523e-08
   5.7328420   -9.2328978123e-01    3.6729249935e-08
   5.7504815   -9.2331491840e-01    3.2324722089e-08
   5.7681210   -9.2332901070e-01    3.6688622614e-08
   5.7857605   -9.2334310300e-01    4.1052523138e-08
   5.8034001   -9.2335496522e-01    4.5798984839e-08
   5.8210396   -9.2334423579e-01    5.4420957576e-08
   5.8386791   -9.2333350635e-01    6.3042930314e-08
   5.8563186   -9.2332125312e-01    6.9841660008e-08
   5.8739581   -9.2329707229e-01    6.2368797611e-08
   5.8915976   -9.2327289146e-01    5.4895935213e-08
   5.9092371   -9.2324977999e-01    4.9522687241e-08
   5.9268766   -9.2323342080e-01    5.7407004641e-08
   5.9445162   -9.2321706161e-01    6.5291322041e-08
   5.9621557   -9.2320366405e-01    7.0860488610e-08
   5.9797952   -9.2320579701e-01    6.4289230092e-08
   5.9974347   -9.2320792998e-01    5.7717971573e-08
   6.0150742   -9.2321253226e-01    5.1846351264e-08
   6.0327137   -9.2322811516e-01    4.9085888096e-08
   6.0503532   -9.2324369805e-01    4.6325424928e-08
   6.0679928   -9.2325981297e-01    4.4493489443e-08
   6.0856323   -9.2327796563e-01    4.6217990181e-08
   6.1032718   -9.2329611829e-01    4.7942490919e-08
   6.1209113   -9.2331326980e-01    4.8714466747e-08
   6.1385508   -9.2332707845e-01    4.6305978048e-08
   6.1561903   -9.2334088710e-01    4.3897489348e-08
   6.1738298   -9.2335316255e-01    4.3889394777e-08
   6.1914694   -9.2336093273e-01    5.0934766029e-08
   6.2091089   -9.2336870292e-01    5.7980137282e-08
   6.2267484   -9.2337500423e-01    6.3905532301e-08
   6.2443879   -9.2337747820e-01    6.6912679388e-08
   6.2620274   -9.2337995217e-01    6.9919826475e-08
   6.2796669   -9.2338167281e-01    7.1000797850e-08
   6.2973064   -9.2338164220e-01    6.7604036076e-08
   6.3149460   -9.2338161160e-01    6.4207274302e-08
   6.3325855   -9.2338251112e-01    6.1128771994e-08
   6.3502250   -9.2338534936e-01    5.8713629777e-08
   6.3678645   -9.2338818759e-01    5.6298487561e-08
   6.3855040   -9.2339359077e-01    5.4433555128e-08
   6.4031435   -9.2340380680e-01    5.3601038808e-08
   6.4207830   -9.2341402284e-01    5.2768522488e-08
   6.4384225   -9.2342605886e-01    5.5452377405e-08
   6.4560621   -9.2344117929e-01    6.4095556210e-08
   6.4737016   -9.2345629972e-01    7.2738735014e-08
   6.4913411   -9.2346912462e-01    8.7242819946e-08
   6.5089806   -9.2347842667e-01    1.1074136478e-07
   6.5266201   -9.2348772872e-01    1.3423990961e-07
   6.5442596   -9.2348996614e-01    1.4665151150e-07
   6.5618991   -9.2348236587e-01    1.4362428631e-07
   6.5795387   -9.2347476560e-01    1.4059706112e-07
   6.5971782   -9.2345957573e-01    1.2713486707e-07
   6.6148177   -9.2343478133e-01    1.0046735843e-07
   6.6324572   -9.2340998692e-01    7.3799849801e-08
   6.6500967   -9.2338344651e-01    5.5415718762e-08
   6.6677362   -9.2335489600e-01    4.6567913189e-08
   6.6853757   -9.2332634549e-01    3.7720107617e-08
   6.7030153   -9.2330424712e-01    3.6536602840e-08
